job_id,job_title,company,location,sector,category,certainty,cleaned_title,extracted_duties
b6d69309c04c90a0,Senior project manager (cloud),Master-Works,Riyadh,Technology & IT,Cloud Engineer,medium,Cloud Project Manager,"['Lead cloud transformation projects from planning to go-live', 'Manage project scope, schedule, budget, risks, and dependencies', 'Coordinate cross-functional teams including cloud architects, engineers, security, and data teams']"
77a038467f741edd,Data Products Specialist,Datamatics Technologies,Riyadh,Technology & IT,Data Engineer,high,Data Engineer,"['Analyze and interpret data to support the design and development of data products.', 'Collaborate with business stakeholders and technical teams to define requirements for data products.', 'Document datasets, metadata, lineage, and business definitions using data cataloging tools.']"
2423281046c56d13,"Senior Cyber Threat Intelligence Consultant, Mandiant (English, Arabic)",Google,Saudi Arabia,Technology & IT,Cybersecurity Analyst,high,Cybersecurity Analyst,"['Assess and develop cybersecurity solutions across multiple domains.', 'Analyze Cyber Threat Intelligence for monitoring, detection, and response.', 'Teach technical concepts to clients and foster a learning environment.']"
c73ed352ab1893e9,Principal (Director) Data Science Consultant Practice Lead,"EPAM Systems, Inc.",Al Khobar,Technology & IT,Data Scientist,high,Data Scientist,"['Provide technical leadership and strategic direction on Gen AI strategies for clients across industries', 'Design and implement innovative AI-driven products such as customer personalization tools, demand forecasting systems, dynamic pricing solutions, and operational automation', 'Lead the development, deployment of AI-driven solutions to help organizations unlock new opportunities']"
50ee957c5f397bdb,Finance Business Partner - Middle East and Africa,Dexcom,Riyadh,Finance & Accounting,Financial Analyst,high,Financial Analyst,"['Lead financial planning and analysis for the Middle East region.', 'Work closely with the General Manager to drive performance and operational excellence.', 'Provide strategic insights and support complex decision-making processes.']"
acf56c3f6b4c91d4,Drilling Engineer,Aramco,Saudi Arabia,"Energy, Oil & Gas",Drilling Engineer,high,Drilling Engineer,"['Provide drilling technical support for operations, equipment, and projects.', 'Analyze information to solve assigned drilling problems using engineering methods.', 'Introduce innovations that enhance monitoring and safety in gas drilling.']"
2d1c74ddf11baa92,Enterprise Sales Lead – Saudi Arabia,NTT Ltd,Riyadh,Sales & Business Development,Sales Manager,high,Sales Manager,"['Manage a team of sales specialists to achieve sales targets.', 'Collaborate with internal stakeholders to meet strategic sales objectives.', 'Ensure adherence to sales procedures and policies.', 'Develop tactical strategies and align the team with client segmentation.']"
cc742edadf39b07f,Population Health Strategy Manager,Sanofi,Riyadh,Healthcare & Medical,Public Health Manager,medium,Healthcare Manager,"['Map healthcare ecosystems to identify key players and hospital types', 'Support screening initiatives for early detection of Type 1 diabetes', 'Build strategic partnerships with public health leaders and clinical teams']"
f64748499fd604d2,Corporate Account Executive - Saudi Arabia (Remote),CrowdStrike,Saudi Arabia,Sales & Business Development,Sales Representative,high,Sales Representative,"['Run full sales process from prospecting to close.', 'Strategize with channel partners for net-new business.', 'Forecast and report updates through Clari.']"
26ebacd29cbbebef,O&M infrastructure Engineer,Giza Systems EG,Riyadh,Technology & IT,Systems Administrator,high,Systems Administrator,"['Manage and maintain RHEL systems, including installation, configuration, monitoring, troubleshooting, and compliance with security regulations.', 'Support SAP environments running on RHEL and manage PACEMAKER clusters for high availability.', 'Maintain technical documentation and collaborate with various IT teams to ensure system stability and performance.']"
